emissionprobs	2	13	H4k20me1	1	8.969555454743055E-4
emissionprobs	2	14	Pol2b	0	0.9989434132072703
emissionprobs	2	14	Pol2b	1	0.0010565867927296803
emissionprobs	3	0	Ctcf	0	0.9804640791793489
emissionprobs	3	0	Ctcf	1	0.01953592082065112
emissionprobs	3	1	Ezh239875	0	0.2512838018768099
emissionprobs	3	1	Ezh239875	1	0.7487161981231901
emissionprobs	3	2	H2az	0	0.9879553505409516
emissionprobs	3	2	H2az	1	0.012044649459048406
emissionprobs	3	3	H3k09me3	0	0.9848560663390343
emissionprobs	3	3	H3k09me3	1	0.015143933660965638
emissionprobs	3	4	H3k27ac	0	0.9999666597987539
emissionprobs	3	4	H3k27ac	1	3.3340201246029196E-5
emissionprobs	3	5	H3k27me3	0	0.31307892605798776
emissionprobs	3	5	H3k27me3	1	0.6869210739420123
emissionprobs	3	6	H3k36me3	0	0.9996854593539829
emissionprobs	3	6	H3k36me3	1	3.1454064601699585E-4
emissionprobs	3	7	H3k4me1	0	0.9866798195258448
emissionprobs	3	7	H3k4me1	1	0.01332018047415503
emissionprobs	3	8	H3k4me2	0	0.9874900439816814
emissionprobs	3	8	H3k4me2	1	0.012509956018318657
emissionprobs	3	9	H3k4me3	0	0.9940293114295509
emissionprobs	3	9	H3k4me3	1	0.005970688570449075
emissionprobs	3	10	H3k79me2	0	0.9989009575054286
emissionprobs	3	10	H3k79me2	1	0.0010990424945713252
emissionprobs	3	11	H3k9ac	0	0.9993087142412099
emissionprobs	3	11	H3k9ac	1	6.912857587902073E-4
emissionprobs	3	12	H3k9me1	0	0.9978998551082346
emissionprobs	3	12	H3k9me1	1	0.0021001448917652853
emissionprobs	3	13	H4k20me1	0	0.9958122617344695
emissionprobs	3	13	H4k20me1	1	0.004187738265530455
emissionprobs	3	14	Pol2b	0	0.9938076518574319
emissionprobs	3	14	Pol2b	1	0.006192348142568064
emissionprobs	4	0	Ctcf	0	0.9981380032492213
emissionprobs	4	0	Ctcf	1	0.0018619967507787108
emissionprobs	4	1	Ezh239875	0	0.9420532837512148
emissionprobs	4	1	Ezh239875	1	0.05794671624878525
emissionprobs	4	2	H2az	0	0.9979826421385821
emissionprobs	4	2	H2az	1	0.0020173578614179227
emissionprobs	4	3	H3k09me3	0	0.9977195041509682
emissionprobs	4	3	H3k09me3	1	0.0022804958490317707
emissionprobs	4	4	H3k27ac	0	0.9999933476185564
emissionprobs	4	4	H3k27ac	1	6.6523814435348096E-6
emissionprobs	4	5	H3k27me3	0	0.927174298676963
emissionprobs	4	5	H3k27me3	1	0.07282570132303694
emissionprobs	4	6	H3k36me3	0	0.9998778766813761
emissionprobs	4	6	H3k36me3	1	1.2212331862398329E-4
emissionprobs	4	7	H3k4me1	0	0.9987382232328629
emissionprobs	4	7	H3k4me1	1	0.0012617767671371273
emissionprobs	4	8	H3k4me2	0	0.9997576182864553
emissionprobs	4	8	H3k4me2	1	2.4238171354478831E-4
emissionprobs	4	9	H3k4me3	0	0.9998885352435641
emissionprobs	4	9	H3k4me3	1	1.1146475643581924E-4
emissionprobs	4	10	H3k79me2	0	0.9999150875746787
emissionprobs	4	10	H3k79me2	1	8.491242532125858E-5
emissionprobs	4	11	H3k9ac	0	0.9996004562604112
emissionprobs	4	11	H3k9ac	1	3.9954373958881205E-4
emissionprobs	4	12	H3k9me1	0	0.9982297930942055
emissionprobs	4	12	H3k9me1	1	0.0017702069057945395
emissionprobs	4	13	H4k20me1	0	0.9982752785945949
emissionprobs	4	13	H4k20me1	1	0.0017247214054051262
emissionprobs	4	14	Pol2b	0	0.9976857973843449
emissionprobs	4	14	Pol2b	1	0.0023142026156550482
emissionprobs	5	0	Ctcf	0	0.8936767918408715
emissionprobs	5	0	Ctcf	1	0.10632320815912856
emissionprobs	5	1	Ezh239875	0	0.05469389929620267
emissionprobs	5	1	Ezh239875	1	0.9453061007037973
emissionprobs	5	2	H2az	0	0.5078184994348324
emissionprobs	5	2	H2az	1	0.49218150056516763
emissionprobs	5	3	H3k09me3	0	0.9695379267506608
emissionprobs	5	3	H3k09me3	1	0.030462073249339222
emissionprobs	5	4	H3k27ac	0	0.9913690442598634
emissionprobs	5	4	H3k27ac	1	0.008630955740136705
emissionprobs	5	5	H3k27me3	0	0.2935369773447613
emissionprobs	5	5	H3k27me3	1	0.7064630226552386
emissionprobs	5	6	H3k36me3	0	0.99386344854466
emissionprobs	5	6	H3k36me3	1	0.006136551455339964
emissionprobs	5	7	H3k4me1	0	0.7651820355160465
emissionprobs	5	7	H3k4me1	1	0.23481796448395348
emissionprobs	5	8	H3k4me2	0	0.18347441284976368
emissionprobs	5	8	H3k4me2	1	0.8165255871502363
emissionprobs	5	9	H3k4me3	0	0.31729471441415136
emissionprobs	5	9	H3k4me3	1	0.6827052855858486
emissionprobs	5	10	H3k79me2	0	0.9828341765713589
emissionprobs	5	10	H3k79me2	1	0.017165823428641116
emissionprobs	5	11	H3k9ac	0	0.8674420263274824
emissionprobs	5	11	H3k9ac	1	0.1325579736725177
emissionprobs	5	12	H3k9me1	0	0.9872243389979655
emissionprobs	5	12	H3k9me1	1	0.012775661002034481
emissionprobs	5	13	H4k20me1	0	0.990409368788948
emissionprobs	5	13	H4k20me1	1	0.00959063121105193
emissionprobs	5	14	Pol2b	0	0.9649126742195119
emissionprobs	5	14	Pol2b	1	0.03508732578048817
emissionprobs	6	0	Ctcf	0	0.8455377120582248
emissionprobs	6	0	Ctcf	1	0.15446228794177533
emissionprobs	6	1	Ezh239875	0	0.8776570586599896
emissionprobs	6	1	Ezh239875	1	0.12234294134001047
emissionprobs	6	2	H2az	0	0.3325914680756636
emissionprobs	6	2	H2az	1	0.6674085319243365
emissionprobs	6	3	H3k09me3	0	0.9947882832893432
emissionprobs	6	3	H3k09me3	1	0.005211716710656842
emissionprobs	6	4	H3k27ac	0	0.9214282277278198
emissionprobs	6	4	H3k27ac	1	0.07857177227218021
emissionprobs	6	5	H3k27me3	0	0.9820489215463281
emissionprobs	6	5	H3k27me3	1	0.017951078453672033
emissionprobs	6	6	H3k36me3	0	0.9988229083849336
emissionprobs	6	6	H3k36me3	1	0.0011770916150663875
emissionprobs	6	7	H3k4me1	0	0.686078332582881
emissionprobs	6	7	H3k4me1	1	0.313921667417119
emissionprobs	6	8	H3k4me2	0	0.26497875857537756
emissionprobs	6	8	H3k4me2	1	0.7350212414246224
emissionprobs	6	9	H3k4me3	0	0.40851518927115404
emissionprobs	6	9	H3k4me3	1	0.591484810728846
emissionprobs	6	10	H3k79me2	0	0.9669921790775857
emissionprobs	6	10	H3k79me2	1	0.03300782092241423
emissionprobs	6	11	H3k9ac	0	0.6946299490160605
emissionprobs	6	11	H3k9ac	1	0.30537005098393954
emissionprobs	6	12	H3k9me1	0	0.9945419003006367
emissionprobs	6	12	H3k9me1	1	0.005458099699363318
emissionprobs	6	13	H4k20me1	0	0.9992408572054728
emissionprobs	6	13	H4k20me1	1	7.591427945270797E-4
emissionprobs	6	14	Pol2b	0	0.9658369919854862
emissionprobs	6	14	Pol2b	1	0.034163008014513815
emissionprobs	7	0	Ctcf	0	0.879960229180423
emissionprobs	7	0	Ctcf	1	0.12003977081957692
emissionprobs	7	1	Ezh239875	0	0.9717496511363196
emissionprobs	7	1	Ezh239875	1	0.02825034886368043
emissionprobs	7	2	H2az	0	0.3472773532899516
emissionprobs	7	2	H2az	1	0.6527226467100484
emissionprobs	7	3	H3k09me3	0	0.9980143293037498
emissionprobs	7	3	H3k09me3	1	0.001985670696250168
emissionprobs	7	4	H3k27ac	0	0.08807062896892465
emissionprobs	7	4	H3k27ac	1	0.9119293710310754
emissionprobs	7	5	H3k27me3	0	0.9969257435681804
emissionprobs	7	5	H3k27me3	1	0.0030742564318196135
emissionprobs	7	6	H3k36me3	0	0.9451469999059308
emissionprobs	7	6	H3k36me3	1	0.054853000094069244
emissionprobs	7	7	H3k4me1	0	0.7068610663700752
emissionprobs	7	7	H3k4me1	1	0.2931389336299247
emissionprobs	7	8	H3k4me2	0	0.16814289456246867
emissionprobs	7	8	H3k4me2	1	0.8318571054375313
emissionprobs	7	9	H3k4me3	0	0.008235305488950184
emissionprobs	7	9	H3k4me3	1	0.9917646945110499
emissionprobs	7	10	H3k79me2	0	0.34772747869010395
emissionprobs	7	10	H3k79me2	1	0.652272521309896
emissionprobs	7	11	H3k9ac	0	0.020944998076940745
emissionprobs	7	11	H3k9ac	1	0.9790550019230593
emissionprobs	7	12	H3k9me1	0	0.9879761439594308
emissionprobs	7	12	H3k9me1	1	0.012023856040569202
emissionprobs	7	13	H4k20me1	0	0.9608295592256376
emissionprobs	7	13	H4k20me1	1	0.03917044077436229
emissionprobs	7	14	Pol2b	0	0.5761675742316874
emissionprobs	7	14	Pol2b	1	0.4238324257683126
emissionprobs	8	0	Ctcf	0	0.9176832361352184
emissionprobs	8	0	Ctcf	1	0.08231676386478158
emissionprobs	8	1	Ezh239875	0	0.9710158135587712
emissionprobs	8	1	Ezh239875	1	0.02898418644122873
emissionprobs	8	2	H2az	0	0.42476989811212973
emissionprobs	8	2	H2az	1	0.5752301018878703
emissionprobs	8	3	H3k09me3	0	0.9973513501475759
emissionprobs	8	3	H3k09me3	1	0.0026486498524240817
emissionprobs	8	4	H3k27ac	0	0.09126522620419475
emissionprobs	8	4	H3k27ac	1	0.9087347737958053
emissionprobs	8	5	H3k27me3	0	0.9996632668135143
emissionprobs	8	5	H3k27me3	1	3.3673318648575986E-4
emissionprobs	8	6	H3k36me3	0	0.9713258116309508
emissionprobs	8	6	H3k36me3	1	0.028674188369049166
emissionprobs	8	7	H3k4me1	0	0.05667467266517956
emissionprobs	8	7	H3k4me1	1	0.9433253273348204
emissionprobs	8	8	H3k4me2	0	0.12948655963198435
emissionprobs	8	8	H3k4me2	1	0.8705134403680157
emissionprobs	8	9	H3k4me3	0	0.7267943563078446
emissionprobs	8	9	H3k4me3	1	0.27320564369215544
emissionprobs	8	10	H3k79me2	0	0.9824982696821492
emissionprobs	8	10	H3k79me2	1	0.017501730317850902
emissionprobs	8	11	H3k9ac	0	0.5860193322279402
emissionprobs	8	11	H3k9ac	1	0.41398066777205983
emissionprobs	8	12	H3k9me1	0	0.9765321279962951
emissionprobs	8	12	H3k9me1	1	0.023467872003704947
emissionprobs	8	13	H4k20me1	0	0.9964487873309722
